Samples,204252_at,211803_at,211804_s_at
GSM927630,6.734412428,2.256638222,5.145607392
GSM927631,7.040887435,2.262985279,5.8675481110000005
GSM927632,6.764520502000001,2.264747746,5.506562532999999
GSM927633,6.727554463,2.282137585,5.4312327929999995
GSM927634,7.061977566,2.29477602,4.970483855
GSM927635,7.484418837000001,2.314050312,6.036091757
GSM927636,7.090989874,2.2487639109999997,6.0739024829999995
GSM927637,6.724134503999999,2.244822556,5.557545479
GSM927638,7.153530845,2.241546529,6.264554427
GSM927639,7.037647357999999,2.244589777,5.542361484
GSM927640,6.848657685,2.24592626,5.4077461520000005
GSM927641,6.7902191389999995,2.27274393,5.61173633
GSM927642,7.80837769,2.32189595,6.121723469
GSM927643,7.057732089,2.305124401,5.346097888
GSM927644,7.556441778,2.316914544,5.730101727
GSM927645,8.045058167,2.2821734890000003,6.803275431
GSM927646,6.763179572,2.248916284,5.072394071000001
GSM927647,7.400101743,2.255672726,6.13470047
GSM927648,7.252751329,2.242501485,5.547648212
GSM927649,6.986171806000001,2.256761465,5.427264084
GSM927650,6.463727106,2.2249626719999998,4.417784471
GSM927651,6.83198032,2.2627366380000002,4.830815189
GSM927652,6.698754898,2.2494621759999998,5.307741748
GSM927653,6.910909671000001,2.2428754769999997,4.981783386
GSM927654,6.827232219,2.244539355,5.509025286
GSM927655,7.2133916639999995,2.244626287,6.232434337000001
GSM927656,6.713816641,2.263077549,4.2709447130000004
GSM927657,7.295577146,2.25287372,6.182439252000001
GSM927658,7.38204371,2.287197903,5.607282389
GSM927659,7.384726704,2.272298261,6.243020175
GSM927660,7.395486464,2.262016101,6.109812917999999
GSM927661,7.339645895,2.296423456,5.842507565
GSM927662,7.372598073,2.21639648,5.7988908839999995
GSM927663,7.010851685,2.245229896,5.4215717439999995
GSM927664,6.725058422999999,2.259358106,5.520639505
GSM927665,6.975320042999999,2.224436746,4.848207574
GSM927666,7.390162102000001,2.243685152,6.249364183
GSM927667,7.026340674,2.2265655509999998,5.346292139
